"<54>Aug 28 15:44:19 HL-ANTIVIRUS SymantecServer: KALT-BeataR","SHA-256: ","MD-5: ","Local: 10.181.10.60","Local: 3","Local: 54EE75512B57","Remote: 10.181.100.11","Remote: KTWDC01.sapiens.int","Remote: 3","Remote: 00A5BF471BC6","ICMP","Outbound","Begin: 2019-08-28 15:32:04","End: 2019-08-28 15:32:04","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: beata.rusek","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<52>Aug 28 15:32:39 HL-ANTIVIRUS SymantecServer: INLT1794","SHA-256: 5379732000000000000000000000000000000000000000000000000000000000","MD-5: 53797320000000000000000000000000","Local: 10.245.160.62","Local: 138","Local: 090005000000","Remote: 255.255.255.255","Remote: ","Remote: 138","Remote: 920420000600","UDP","Outbound","Begin: 2019-08-28 15:32:03","End: 2019-08-28 15:32:07","Occurrences: 5","Application: C:/WINDOWS/system32/NTOSKRNL.EXE","Rule: Block Local File Sharing","Location: External","User: Karthik.V","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:33:00 HL-ANTIVIRUS SymantecServer: ADPTKLT058","SHA-256: ","MD-5: ","Local: 172.17.31.78","Local: 8080","Local: 681729EC8D3A","Remote: 172.17.31.66","Remote: ","Remote: 61379","Remote: 507B9D26F52D","TCP","Inbound","Begin: 2019-08-28 15:32:01","End: 2019-08-28 15:32:09","Occurrences: 3","Application: ","Rule: Block all other IP traffic and log","Location: External","User: pzubia","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:33:00 HL-ANTIVIRUS SymantecServer: ADPTKLT058","SHA-256: ","MD-5: ","Local: 172.17.31.78","Local: 8080","Local: 681729EC8D3A","Remote: 172.17.31.66","Remote: ","Remote: 61384","Remote: 507B9D26F52D","TCP","Inbound","Begin: 2019-08-28 15:32:01","End: 2019-08-28 15:32:10","Occurrences: 3","Application: ","Rule: Block all other IP traffic and log","Location: External","User: pzubia","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:32:39 HL-ANTIVIRUS SymantecServer: INLT1794","SHA-256: ","MD-5: ","Local: 10.245.160.62","Local: 3","Local: 090005000000","Remote: 10.21.100.5","Remote: BNGDC01.sapiens.int","Remote: 3","Remote: 920420000600","ICMP","Outbound","Begin: 2019-08-28 15:31:58","End: 2019-08-28 15:31:58","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: Karthik.V","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:32:39 HL-ANTIVIRUS SymantecServer: INLT1794","SHA-256: ","MD-5: ","Local: 10.245.160.62","Local: 3","Local: 090005000000","Remote: 10.245.100.86","Remote: SAPIENS.INT","Remote: 3","Remote: 920420000600","ICMP","Outbound","Begin: 2019-08-28 15:31:57","End: 2019-08-28 15:32:14","Occurrences: 29","Application: ","Rule: Block all other IP traffic and log","Location: External","User: Karthik.V","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:07:59 HL-ANTIVIRUS SymantecServer: ADPTKLT156","SHA-256: ","MD-5: ","Local: 192.168.0.19","Local: 3","Local: 983B8F7B3B7B","Remote: 209.18.47.63","Remote: ","Remote: 3","Remote: E0885D13FF3E","ICMP","Outbound","Begin: 2019-08-28 15:31:53","End: 2019-08-28 15:31:53","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jkearse","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:51:51 HL-ANTIVIRUS SymantecServer: ADPTKLT212","SHA-256: ","MD-5: ","Local: 192.168.0.8","Local: 3","Local: D43B047D4731","Remote: 208.59.247.46","Remote: ","Remote: 3","Remote: 5C8FE01D8667","ICMP","Outbound","Begin: 2019-08-28 15:31:53","End: 2019-08-28 15:31:53","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jdimauro","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 17:20:00 HL-ANTIVIRUS SymantecServer: UXBLT033","SHA-256: ","MD-5: ","Local: 192.168.0.27","Local: 3","Local: E4A4716F4CB7","Remote: 192.168.0.65","Remote: ","Remote: 3","Remote: 0017887CABCD","ICMP","Outbound","Begin: 2019-08-28 15:31:47","End: 2019-08-28 15:31:47","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jan_jansen","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 17:20:00 HL-ANTIVIRUS SymantecServer: UXBLT033","SHA-256: ","MD-5: ","Local: 192.168.0.27","Local: 3","Local: E4A4716F4CB7","Remote: 192.168.0.35","Remote: ","Remote: 3","Remote: 00178871E36A","ICMP","Outbound","Begin: 2019-08-28 15:31:47","End: 2019-08-28 15:31:47","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jan_jansen","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
