"Time","Header","half0_0","half0_1","half0_2","half0_3","half1_3","half1_2","half1_1","half1_0","Priority_Index","H_U","Class_Type","Address","Data_Item_Type","Data_Item_Number","Counter","Att"
"3665640969","0000208A408A","0","0","1","1","AA","4","2","1"
"3665640969","0000208A410C","0","0","1","0","AA","FF","0","0"
"3665640969","0000208A800E","0","0","0","0","AA","18","5","0"
"3665640969","0000208A8080","0","0","0","0","AA","9","5","0"
"3665640969","0000208A8102","0","0","0","1","AA","9","5","0"
"3665640969","0000208A8184","0","0","0","0","AA","FF","0","0"
"3665640969","0000208A8206","0","0","0","0","AA","FF","0","0"
"3665640969","0000209E000C","0","0","0","0","AA","FF","0","0"
"3665640969","0000209E008E","0","0","0","0","AA","FF","0","0"
"3665640969","2.09E+102","0","0","0","0","AA","FF","0","0"
"3665640969","2.09E+184","0","0","0","0","AA","FF","0","0"
"3665640969","2.09E+206","0","0","0","0","AA","FF","0","0"
"3665640969","2.09E+288","0","0","0","0","AA","FF","0","0"
"3665640969","0000209E4008","0","0","2","1","AA","4","5","0"
"3665640969","0000209E408A","0","0","1","1","AA","4","2","1"
"3665640969","0000209E410C","0","0","1","0","AA","FF","0","0"
"3665640969","0000209E800E","0","0","0","0","AA","18","5","0"
"3665640969","0000209E8080","0","0","0","0","AA","9","5","0"
"3665640969","0000209E8102","0","0","0","0","AA","9","5","0"
"3665640969","0000209E8184","0","0","0","0","AA","FF","0","0"
"3665640969","0000209E8206","0","0","0","0","AA","FF","0","0"
"3665640969","0000209C000C","0","0","0","0","AA","5","5","0"
"3665640969","0000209C008E","0","0","0","0","AA","5","5","0"
"3665640969","0000209C0100","0","0","0","0","AA","FF","0","0"
"3665640969","0000209C0182","0","0","0","0","AA","5","2","0"
"3665640969","0000209C0204","0","0","0","0","AA","5","2","0"
"3665640969","0000209C0286","0","0","0","0","AA","FF","0","0"
"3665640969","0000209C4008","0","0","2","0","AA","4","5","0"
"3665640969","0000209C408A","0","0","1","1","AA","4","2","1"
"3665640969","0000209C410C","0","0","1","0","AA","FF","0","0"
"3665640969","0000209C800E","0","0","0","0","AA","18","5","0"
"3665640969","0000209C8080","0","0","0","1","AA","9","5","0"
"3665640969","0000209C8102","0","0","0","1","AA","9","5","0"
"3665640969","0000209C8184","0","0","0","0","AA","4","5","0"
"3665640969","0000209C8206","0","0","0","0","AA","FF","0","0"
"3665640969","0000209A000C","0","6","0","1","AA","5","5","0"
"3665640969","0000209A008E","0","6","0","1","AA","5","5","0"
"3665640969","0000209A0100","0","0","0","0","AA","FF","0","0"
"3665640969","0000209A0182","0","6","0","1","AA","5","2","0"
"3665640969","0000209A0204","0","6","0","1","AA","5","2","0"
"3665640969","0000209A0286","0","0","0","0","AA","FF","0","0"
"3665640969","0000209A4008","0","0","2","0","AA","4","5","0"
"3665640969","0000209A408A","0","0","1","1","AA","4","2","1"
"3665640969","0000209A410C","0","0","1","0","AA","FF","0","0"
"3665640969","0000209A800E","0","0","0","0","AA","18","5","0"
"3665640969","0000209A8080","0","0","0","1","AA","9","5","0"
"3665640969","0000209A8102","0","0","0","1","AA","9","5","0"
"3665640969","0000209A8184","0","0","0","0","AA","4","5","0"
"3665640969","0000209A8206","0","0","0","0","AA","FF","0","0"
"3665640969","00002096000C","0","6","0","1","AA","5","5","0"
"3665640969","00002096008E","0","0","0","0","AA","5","5","0"
"3665640969","20960100","0","0","0","0","AA","FF","0","0"
"3665640969","20960182","0","6","0","1","AA","5","2","0"
"3665640969","20960204","0","0","0","0","AA","5","2","0"
"3665640969","20960286","0","0","0","0","AA","FF","0","0"
"3665640969","20964008","0","0","2","0","AA","4","5","0"
"3665640969","00002096408A","0","0","1","1","AA","4","2","1"
"3665640969","00002096410C","0","0","1","0","AA","FF","0","0"
"3665640969","00002096800E","0","0","0","0","AA","18","5","0"
"3665640969","20968080","0","0","0","0","AA","9","5","0"
"3665640969","20968102","0","0","0","1","AA","9","5","0"
"3665640969","20968184","0","0","0","0","AA","4","5","0"
"3665640969","20968206","0","0","0","0","AA","FF","0","0"
"3665640969","0000208E000C","0","0","0","0","AA","FF","0","0"
"3665640969","0000208E008E","0","0","0","0","AA","5","5","0"
"3665640969","2.08E+102","0","0","0","0","AA","FF","0","0"
"3665640969","2.08E+184","0","0","0","0","AA","FF","0","0"
"3665640969","2.08E+206","0","0","0","0","AA","5","2","0"
"3665640969","2.08E+288","0","0","0","0","AA","4","2","0"
"3665640969","0000208E4008","0","0A","2","1","AA","4","5","0"
"3665640969","0000208E408A","0","0","1","1","AA","4","2","1"
"3665640969","0000208E410C","0","0","1","0","AA","FF","0","0"
"3665640969","0000208E800E","0","0","0","0","AA","18","5","0"
"3665640969","0000208E8080","0","0","0","1","AA","9","5","0"
"3665640969","0000208E8102","0","0","0","1","AA","9","5","0"
"3665640969","0000208E8184","0","0","0","0","AA","4","5","0"
"3665640969","0000208E8206","0","0","0","1","AA","4","5","0"
"3665640969","00002084000C","0","0","0","0","AA","FF","0","0"
"3665640969","00002084008E","0","0","0","0","AA","5","5","0"
"3665640969","20840100","0","0","0","0","AA","FF","0","0"
"3665640969","20840182","0","0","0","0","AA","FF","0","0"
"3665640969","20840204","0","0","0","0","AA","FF","0","0"
"3665640969","20840286","0","0","0","0","AA","4","2","0"
